"text", "translation"
"育成でトロフィー[GI]を\n15種類獲得しよう","Win 15 GI trophies in training"
"育成でトロフィー[GI]を\n20種類獲得しよう","Win 20 GI trophies in training"
"育成でトロフィーを\n10種類獲得しよう","Win 10 different trophies in training"
"育成でトロフィーを\n15種類獲得しよう","Win 15 different trophies in training"
"育成でトロフィーを\n20種類獲得しよう","Win 20 different trophies in training"
"育成でトロフィーを\n25種類獲得しよう","Win 25 different trophies in training"
"育成でトロフィーを\n30種類獲得しよう","Win 30 different trophies in training"
"育成でトロフィーを\n35種類獲得しよう","Win 35 different trophies in training"
"育成でトロフィーを\n40種類獲得しよう","Win 40 different trophies in training"
"育成でトロフィーを\n45種類獲得しよう","Win 45 different trophies in training"
"育成でトロフィーを\n50種類獲得しよう","Win 50 different trophies in training"
"育成でトロフィーを\n55種類獲得しよう","Win 55 different trophies in training"
"育成でトロフィーを\n60種類獲得しよう","Win 60 different trophies in training"
"育成でトロフィーを\n65種類獲得しよう","Win 65 different trophies in training"
"育成でトロフィーを\n70種類獲得しよう","Win 70 different trophies in training"
"育成でトロフィーを\n75種類獲得しよう","Win 75 different trophies in training"
"育成でトロフィーを\n80種類獲得しよう","Win 80 different trophies in training"
"育成でトロフィーを\n85種類獲得しよう","Win 85 different trophies in training"
"育成でトロフィーを\n90種類獲得しよう","Win 90 different trophies in training"
"育成でトロフィーを\n95種類獲得しよう","Win 95 different trophies in training"
"育成でトロフィーを\n100種類獲得しよう","Win 100 different trophies in training"
"クレーンゲームを1回プレイしよう","Play the Crane Game 1 time"
"クレーンゲームを5回プレイしよう","Play the Crane Game 5 times"
"クレーンゲームを10回プレイしよう","Play the Crane Game 10 times"
"クレーンゲームを30回プレイしよう","Play the Crane Game 30 times"
"戦績が5勝以上で\n育成を完了しよう","Complete training with 5 or more race wins"
"戦績が10勝以上で\n育成を完了しよう","Complete training with 10 or more race wins"
"戦績が15勝以上で\n育成を完了しよう","Complete training with 15 or more race wins"
"戦績が20勝以上で\n育成を完了しよう","Complete training with 20 or more race wins"
"戦績が21勝以上で\n育成を完了しよう","Complete training with 21 or more race wins"
"戦績が22勝以上で\n育成を完了しよう","Complete training with 22 or more race wins"
"戦績が23勝以上で\n育成を完了しよう","Complete training with 23 or more race wins"
"戦績が24勝以上で\n育成を完了しよう","Complete training with 24 or more race wins"
"戦績が25勝以上で\n育成を完了しよう","Complete training with 25 or more race wins"
"戦績が26勝以上で\n育成を完了しよう","Complete training with 26 or more race wins"
"戦績が27勝以上で\n育成を完了しよう","Complete training with 27 or more race wins"
"戦績が28勝以上で\n育成を完了しよう","Complete training with 28 or more race wins"
"戦績が29勝以上で\n育成を完了しよう","Complete training with 29 or more race wins"
"戦績が30勝以上で\n育成を完了しよう","Complete training with 30 or more race wins"
"育成ランク[F]以上で\n育成を完了しよう","Complete training with rank F or higher"
"育成ランク[F+]以上で\n育成を完了しよう","Complete training with rank F+ or higher"
"育成ランク[E]以上で\n育成を完了しよう","Complete training with rank E or higher"
"育成ランク[E+]以上で\n育成を完了しよう","Complete training with rank E+ or higher"
"育成ランク[D]以上で\n育成を完了しよう","Complete training with rank D or higher"
"育成ランク[D+]以上で\n育成を完了しよう","Complete training with rank D+ or higher"
"育成ランク[C]以上で\n育成を完了しよう","Complete training with rank C or higher"
"育成ランク[C+]以上で\n育成を完了しよう","Complete training with rank C+ or higher"
"育成ランク[B]以上で\n育成を完了しよう","Complete training with rank B or higher"
"育成ランク[B+]以上で\n育成を完了しよう","Complete training with rank B+ or higher"
"育成ランク[A]以上で\n育成を完了しよう","Complete training with rank A or higher"
"育成ランク[A+]以上で\n育成を完了しよう","Complete training with rank A+ or higher"
"育成ランク[S]以上で\n育成を完了しよう","Complete training with rank S or higher"
"育成ランク[S+]以上で\n育成を完了しよう","Complete training with rank S+ or higher"
"育成ランク[SS]以上で\n育成を完了しよう","Complete training with rank SS or higher"
"クラシック三冠を\n制覇して育成を完了しよう","Win the Classic Triple Crown and complete training"
"秋シニア三冠を\n制覇して育成を完了しよう","Win the Autumn Senior Triple Crown and complete training"
"トリプルティアラを\n制覇して育成を完了しよう","Win the Triple Tiara and complete training"
"春シニア三冠を\n制覇して育成を完了しよう","Win the Spring Senior Triple Crown and complete training"
"天皇賞を春秋連覇して\n育成を完了しよう","Win the Spring-Autumn Tenno Sho and complete training"
"春秋グランプリを\n制覇して育成を完了しよう","Win the Spring-Autumn Grand Prix and complete training"
"春秋マイルを\n制覇して育成を完了しよう","Win the Spring-Autumn Mile and complete training"
"春秋スプリントを\n制覇して育成を完了しよう","Win the Spring-Autumn Sprint and complete training"
"春秋ダートを\n制覇して育成を完了しよう","Win the Spring-Autumn Dirt and complete training"
"育成でフェブラリーSに\n勝利しよう","Win the February Stakes in training"
"育成で高松宮記念に\n勝利しよう","Win the Takamatsunomiya Kinen in training"
"育成で大阪杯に\n勝利しよう","Win the Osaka Hai in training"
"育成で桜花賞に\n勝利しよう","Win the Oka Sho in training"
"育成で皐月賞に\n勝利しよう","Win the Satsuki Sho in training"
"育成で天皇賞（春）に\n勝利しよう","Win the Tenno Sho (Spring) in training"
"育成でNHKマイルCに\n勝利しよう","Win the NHK Mile Cup in training"
"育成でヴィクトリアマイルに\n勝利しよう","Win the Victoria Mile in training"
"育成でオークスに\n勝利しよう","Win the Oaks in training"
"育成で日本ダービーに\n勝利しよう","Win the Japan Derby in training"
"育成で安田記念に\n勝利しよう","Win the Yasuda Kinen in training"
"育成で宝塚記念に\n勝利しよう","Win the Takarazuka Kinen in training"
"育成でスプリンターズSに\n勝利しよう","Win the Spring Stakes in training"
"育成で秋華賞に\n勝利しよう","Win the Shuuka Sho in training"
"育成で菊花賞に\n勝利しよう","Win the Kikka Sho in training"
"育成で天皇賞（秋）に\n勝利しよう","Win the Tenno Sho (Autumn) in training"
"育成でエリザベス女王杯に\n勝利しよう","Win the Queen Elizabeth Cup in training"
"育成でマイルCSに\n勝利しよう","Win the Mile Championship in training"
"育成でジャパンCに\n勝利しよう","Win the Japan Cup in training"
"育成でチャンピオンズCに\n勝利しよう","Win the Champions Cup in training"
"育成で阪神JFに\n勝利しよう","Win the Hanshin Juvenile Fillies in training"
"育成で朝日杯FSに\n勝利しよう","Win the Asahi Hai Futurity Stakes in training"
"育成で有馬記念に\n勝利しよう","Win the Arima Kinen in training"
"育成でホープフルSに\n勝利しよう","Win the Hopeful Stakes in training"
"育成で帝王賞に\n勝利しよう","Win the Teio Sho in training"
"育成でジャパンダートダービーに\n勝利しよう","Win the Japan Dirt Derby in training"
"育成でJBCレディスクラシックに\n勝利しよう","Win the JBC Ladies Classic in training"
"育成でJBCスプリントに\n勝利しよう","Win the JBC Sprint in training"
"育成でJBCクラシックに\n勝利しよう","Win the JBC Classic in training"
"育成で東京大賞典に\n勝利しよう","Win the Tokyo Daishoten in training"
"育成ウマ娘1人の\nグッドエンディングをみよう","Reach 1 horse girl's Good End"
"育成ウマ娘2人の\nグッドエンディングをみよう","Reach 2 horse girls' Good End"
"育成ウマ娘3人の\nグッドエンディングをみよう","Reach 3 horse girls' Good End"
"育成ウマ娘4人の\nグッドエンディングをみよう","Reach 4 horse girls' Good End"
"育成ウマ娘5人の\nグッドエンディングをみよう","Reach 5 horse girls' Good End"
"育成ウマ娘6人の\nグッドエンディングをみよう","Reach 6 horse girls' Good End"
"育成ウマ娘7人の\nグッドエンディングをみよう","Reach 7 horse girls' Good End"
"育成ウマ娘8人の\nグッドエンディングをみよう","Reach 8 horse girls' Good End"
"育成ウマ娘9人の\nグッドエンディングをみよう","Reach 9 horse girls' Good End"
"育成ウマ娘10人の\nグッドエンディングをみよう","Reach 10 horse girls' Good End"
"育成ウマ娘11人の\nグッドエンディングをみよう","Reach 11 horse girls' Good End"
"育成ウマ娘12人の\nグッドエンディングをみよう","Reach 12 horse girls' Good End"
"育成ウマ娘13人の\nグッドエンディングをみよう","Reach 13 horse girls' Good End"
"育成ウマ娘14人の\nグッドエンディングをみよう","Reach 14 horse girls' Good End"
"育成ウマ娘15人の\nグッドエンディングをみよう","Reach 15 horse girls' Good End"
"育成ウマ娘16人の\nグッドエンディングをみよう","Reach 16 horse girls' Good End"
"育成ウマ娘17人の\nグッドエンディングをみよう","Reach 17 horse girls' Good End"
"育成ウマ娘18人の\nグッドエンディングをみよう","Reach 18 horse girls' Good End"
"育成ウマ娘19人の\nグッドエンディングをみよう","Reach 19 horse girls' Good End"
"育成ウマ娘20人の\nグッドエンディングをみよう","Reach 20 horse girls' Good End"
"育成ウマ娘21人の\nグッドエンディングをみよう","Reach 21 horse girls' Good End"
"育成ウマ娘22人の\nグッドエンディングをみよう","Reach 22 horse girls' Good End"
"育成ウマ娘23人の\nグッドエンディングをみよう","Reach 23 horse girls' Good End"
"育成ウマ娘24人の\nグッドエンディングをみよう","Reach 24 horse girls' Good End"
"育成ウマ娘25人の\nグッドエンディングをみよう","Reach 25 horse girls' Good End"
"育成ウマ娘26人の\nグッドエンディングをみよう","Reach 26 horse girls' Good End"
"育成ウマ娘27人の\nグッドエンディングをみよう","Reach 27 horse girls' Good End"
"育成ウマ娘28人の\nグッドエンディングをみよう","Reach 28 horse girls' Good End"
"育成ウマ娘29人の\nグッドエンディングをみよう","Reach 29 horse girls' Good End"
"育成ウマ娘30人の\nグッドエンディングをみよう","Reach 30 horse girls' Good End"
"育成ウマ娘31人の\nグッドエンディングをみよう","Reach 31 horse girls' Good End"
"育成ウマ娘32人の\nグッドエンディングをみよう","Reach 32 horse girls' Good End"
"育成ウマ娘33人の\nグッドエンディングをみよう","Reach 33 horse girls' Good End"
"育成ウマ娘34人の\nグッドエンディングをみよう","Reach 34 horse girls' Good End"
"育成ウマ娘35人の\nグッドエンディングをみよう","Reach 35 horse girls' Good End"
"育成ウマ娘36人の\nグッドエンディングをみよう","Reach 36 horse girls' Good End"
"育成ウマ娘37人の\nグッドエンディングをみよう","Reach 37 horse girls' Good End"
"育成ウマ娘38人の\nグッドエンディングをみよう","Reach 38 horse girls' Good End"
"育成ウマ娘39人の\nグッドエンディングをみよう","Reach 39 horse girls' Good End"
"育成ウマ娘40人の\nグッドエンディングをみよう","Reach 40 horse girls' Good End"
"育成ウマ娘41人の\nグッドエンディングをみよう","Reach 41 horse girls' Good End"
"育成ウマ娘42人の\nグッドエンディングをみよう","Reach 42 horse girls' Good End"
"育成ウマ娘43人の\nグッドエンディングをみよう","Reach 43 horse girls' Good End"
"育成ウマ娘44人の\nグッドエンディングをみよう","Reach 44 horse girls' Good End"
"育成ウマ娘45人の\nグッドエンディングをみよう","Reach 45 horse girls' Good End"
"育成ウマ娘46人の\nグッドエンディングをみよう","Reach 46 horse girls' Good End"
"育成ウマ娘47人の\nグッドエンディングをみよう","Reach 47 horse girls' Good End"
"育成ウマ娘48人の\nグッドエンディングをみよう","Reach 48 horse girls' Good End"
"育成ウマ娘49人の\nグッドエンディングをみよう","Reach 49 horse girls' Good End"
"育成ウマ娘50人の\nグッドエンディングをみよう","Reach 50 horse girls' Good End"
"デイリーレースで\n1勝しよう","Win the daily race 1 time"
"デイリーレースで\n3勝しよう","Win the daily race 3 times"
"デイリーレースで\n5勝しよう","Win the daily race 5 times"
"デイリーレースで\n10勝しよう","Win the daily race 10 times"
"チーム競技場を\n1回プレイしよう","Play in the team stadium 1 time"
"チーム競技場を\n3回プレイしよう","Play in the team stadium 3 times"
"チーム競技場を\n5回プレイしよう","Play in the team stadium 5 times"
"チーム競技場を\n10回プレイしよう","Play in the team stadium 10 times"
"チーム競技場を\n15回プレイしよう","Play in the team stadium 15 times"
"チーム競技場を\n20回プレイしよう","Play in the team stadium 20 times"
"チーム競技場を\n25回プレイしよう","Play in the team stadium 25 times"
"チーム競技場を\n30回プレイしよう","Play in the team stadium 30 times"
"チーム競技場を\n35回プレイしよう","Play in the team stadium 35 times"
"チーム競技場を\n40回プレイしよう","Play in the team stadium 40 times"
"チーム競技場を\n45回プレイしよう","Play in the team stadium 45 times"
"チーム競技場を\n50回プレイしよう","Play in the team stadium 50 times"
"チーム競技場を\n60回プレイしよう","Play in the team stadium 60 times"
"チーム競技場を\n70回プレイしよう","Play in the team stadium 70 times"
"チーム競技場を\n80回プレイしよう","Play in the team stadium 80 times"
"チーム競技場を\n90回プレイしよう","Play in the team stadium 90 times"
"チーム競技場を\n100回プレイしよう","Play in the team stadium 100 times"
"チーム競技場を\n150回プレイしよう","Play in the team stadium 150 times"
"チーム競技場を\n200回プレイしよう","Play in the team stadium 200 times"
"チーム競技場を\n250回プレイしよう","Play in the team stadium 250 times"
"チーム競技場を\n300回プレイしよう","Play in the team stadium 300 times"
"チーム競技場を\n350回プレイしよう","Play in the team stadium 350 times"
"チーム競技場を\n400回プレイしよう","Play in the team stadium 400 times"
"チーム競技場を\n450回プレイしよう","Play in the team stadium 450 times"
"チーム競技場を\n500回プレイしよう","Play in the team stadium 500 times"
"チーム競技場を\n600回プレイしよう","Play in the team stadium 600 times"
"チーム競技場を\n700回プレイしよう","Play in the team stadium 700 times"
"チーム競技場を\n800回プレイしよう","Play in the team stadium 800 times"
"チーム競技場を\n900回プレイしよう","Play in the team stadium 900 times"
"チーム競技場を\n1000回プレイしよう","Play in the team stadium 1000 times"
"チーム競技場を\n1200回プレイしよう","Play in the team stadium 1200 times"
"チーム競技場を\n1400回プレイしよう","Play in the team stadium 1400 times"
"チーム競技場を\n1600回プレイしよう","Play in the team stadium 1600 times"
"チーム競技場を\n1800回プレイしよう","Play in the team stadium 1800 times"
"チーム競技場を\n2000回プレイしよう","Play in the team stadium 2000 times"
"チーム競技場を\n2200回プレイしよう","Play in the team stadium 2200 times"
"チーム競技場を\n2400回プレイしよう","Play in the team stadium 2400 times"
"チーム競技場を\n2600回プレイしよう","Play in the team stadium 2600 times"
"チーム競技場を\n2800回プレイしよう","Play in the team stadium 2800 times"
"チーム競技場を\n3000回プレイしよう","Play in the team stadium 3000 times"
"チーム競技場を\n3200回プレイしよう","Play in the team stadium 3200 times"
"チーム競技場を\n3400回プレイしよう","Play in the team stadium 3400 times"
"チーム競技場を\n3600回プレイしよう","Play in the team stadium 3600 times"
"チーム競技場を\n3800回プレイしよう","Play in the team stadium 3800 times"
"チーム競技場を\n4000回プレイしよう","Play in the team stadium 4000 times"
"チーム競技場を\n4200回プレイしよう","Play in the team stadium 4200 times"
"チーム競技場を\n4400回プレイしよう","Play in the team stadium 4400 times"
"チーム競技場を\n4600回プレイしよう","Play in the team stadium 4600 times"
"チーム競技場を\n4800回プレイしよう","Play in the team stadium 4800 times"
"チーム競技場を\n5000回プレイしよう","Play in the team stadium 5000 times"
"チーム競技場を\n5200回プレイしよう","Play in the team stadium 5200 times"
"チーム競技場を\n5400回プレイしよう","Play in the team stadium 5400 times"
"チーム競技場を\n5600回プレイしよう","Play in the team stadium 5600 times"
"チーム競技場を\n5800回プレイしよう","Play in the team stadium 5800 times"
"チーム競技場を\n6000回プレイしよう","Play in the team stadium 6000 times"
"チーム競技場を\n6200回プレイしよう","Play in the team stadium 6200 times"
"チーム競技場を\n6400回プレイしよう","Play in the team stadium 6400 times"
"チーム競技場を\n6600回プレイしよう","Play in the team stadium 6600 times"
"チーム競技場を\n6800回プレイしよう","Play in the team stadium 6800 times"
"チーム競技場を\n7000回プレイしよう","Play in the team stadium 7000 times"
"チーム競技場を\n7200回プレイしよう","Play in the team stadium 7200 times"
"チーム競技場を\n7400回プレイしよう","Play in the team stadium 7400 times"
"チーム競技場を\n7600回プレイしよう","Play in the team stadium 7600 times"
"チーム競技場を\n7800回プレイしよう","Play in the team stadium 7800 times"
"チーム競技場を\n8000回プレイしよう","Play in the team stadium 8000 times"
"チーム競技場を\n8200回プレイしよう","Play in the team stadium 8200 times"
"チーム競技場を\n8400回プレイしよう","Play in the team stadium 8400 times"
"チーム競技場を\n8600回プレイしよう","Play in the team stadium 8600 times"
"チーム競技場を\n8800回プレイしよう","Play in the team stadium 8800 times"
"チーム競技場を\n9000回プレイしよう","Play in the team stadium 9000 times"
"チーム競技場を\n9200回プレイしよう","Play in the team stadium 9200 times"
"チーム競技場を\n9400回プレイしよう","Play in the team stadium 9400 times"
"チーム競技場を\n9600回プレイしよう","Play in the team stadium 9600 times"
"チーム競技場を\n9800回プレイしよう","Play in the team stadium 9800 times"
"チーム競技場を\n10000回プレイしよう","Play in the team stadium 10000 times"
"チーム競技場を\n10200回プレイしよう","Play in the team stadium 10200 times"
"チーム競技場を\n10400回プレイしよう","Play in the team stadium 10400 times"
"チーム競技場を\n10600回プレイしよう","Play in the team stadium 10600 times"
"チーム競技場を\n10800回プレイしよう","Play in the team stadium 10800 times"
"チーム競技場を\n11000回プレイしよう","Play in the team stadium 11000 times"
"チーム競技場を\n11200回プレイしよう","Play in the team stadium 11200 times"
"チーム競技場を\n11400回プレイしよう","Play in the team stadium 11400 times"
"チーム競技場を\n11600回プレイしよう","Play in the team stadium 11600 times"
"チーム競技場を\n11800回プレイしよう","Play in the team stadium 11800 times"
"チーム競技場を\n12000回プレイしよう","Play in the team stadium 12000 times"
"育成ウマ娘の覚醒Lvを\n1回上げよう","Awaken a horse girl 1 time"
"育成ウマ娘の覚醒Lvを\n3回上げよう","Awaken a horse girl 3 times"
"育成ウマ娘の覚醒Lvを\n5回上げよう","Awaken a horse girl 5 times"
"育成ウマ娘の覚醒Lvを\n10回上げよう","Awaken a horse girl 10 times"
"育成ウマ娘の覚醒Lvを\n15回上げよう","Awaken a horse girl 15 times"
"育成ウマ娘の覚醒Lvを\n20回上げよう","Awaken a horse girl 20 times"
"育成ウマ娘の覚醒Lvを\n25回上げよう","Awaken a horse girl 25 times"
"育成ウマ娘の覚醒Lvを\n30回上げよう","Awaken a horse girl 30 times"
"育成ウマ娘の覚醒Lvを\n35回上げよう","Awaken a horse girl 35 times"
"育成ウマ娘の覚醒Lvを\n40回上げよう","Awaken a horse girl 40 times"
"育成ウマ娘の覚醒Lvを\n45回上げよう","Awaken a horse girl 45 times"
"育成ウマ娘の覚醒Lvを\n50回上げよう","Awaken a horse girl 50 times"
"育成ウマ娘の覚醒Lvを\n55回上げよう","Awaken a horse girl 55 times"
"育成ウマ娘の覚醒Lvを\n60回上げよう","Awaken a horse girl 60 times"
"育成ウマ娘の覚醒Lvを\n65回上げよう","Awaken a horse girl 65 times"
"育成ウマ娘の覚醒Lvを\n70回上げよう","Awaken a horse girl 70 times"
"育成ウマ娘の覚醒Lvを\n75回上げよう","Awaken a horse girl 75 times"
"育成ウマ娘の覚醒Lvを\n80回上げよう","Awaken a horse girl 80 times"
"育成ウマ娘の覚醒Lvを\n85回上げよう","Awaken a horse girl 85 times"
"育成ウマ娘の覚醒Lvを\n90回上げよう","Awaken a horse girl 90 times"
"育成ウマ娘の覚醒Lvを\n95回上げよう","Awaken a horse girl 95 times"
"育成ウマ娘の覚醒Lvを\n100回上げよう","Awaken a horse girl 100 times"
"育成ウマ娘の覚醒Lvを\n105回上げよう","Awaken a horse girl 105 times"
"育成ウマ娘の覚醒Lvを\n110回上げよう","Awaken a horse girl 110 times"
"育成ウマ娘の覚醒Lvを\n115回上げよう","Awaken a horse girl 115 times"
"育成ウマ娘の覚醒Lvを\n120回上げよう","Awaken a horse girl 120 times"
"育成ウマ娘の覚醒Lvを\n125回上げよう","Awaken a horse girl 125 times"
"育成ウマ娘の覚醒Lvを\n130回上げよう","Awaken a horse girl 130 times"
"育成ウマ娘の覚醒Lvを\n135回上げよう","Awaken a horse girl 135 times"
"育成ウマ娘の覚醒Lvを\n140回上げよう","Awaken a horse girl 140 times"
"育成ウマ娘の覚醒Lvを\n145回上げよう","Awaken a horse girl 145 times"
"育成ウマ娘の覚醒Lvを\n150回上げよう","Awaken a horse girl 150 times"
"育成ウマ娘の覚醒Lvを\n155回上げよう","Awaken a horse girl 155 times"
"育成ウマ娘の覚醒Lvを\n160回上げよう","Awaken a horse girl 160 times"
"育成ウマ娘の覚醒Lvを\n165回上げよう","Awaken a horse girl 165 times"
"育成ウマ娘の覚醒Lvを\n170回上げよう","Awaken a horse girl 170 times"
"育成ウマ娘の覚醒Lvを\n175回上げよう","Awaken a horse girl 175 times"
"育成ウマ娘の覚醒Lvを\n180回上げよう","Awaken a horse girl 180 times"
"育成ウマ娘の覚醒Lvを\n185回上げよう","Awaken a horse girl 185 times"
"育成ウマ娘の覚醒Lvを\n190回上げよう","Awaken a horse girl 190 times"
"育成ウマ娘の覚醒Lvを\n195回上げよう","Awaken a horse girl 195 times"
"育成ウマ娘の覚醒Lvを\n200回上げよう","Awaken a horse girl 200 times"
"育成ウマ娘の覚醒Lvを\n205回上げよう","Awaken a horse girl 105 times"
"育成ウマ娘の覚醒Lvを\n210回上げよう","Awaken a horse girl 210 times"
"育成ウマ娘の覚醒Lvを\n215回上げよう","Awaken a horse girl 215 times"
"育成ウマ娘の覚醒Lvを\n220回上げよう","Awaken a horse girl 220 times"
"育成ウマ娘の覚醒Lvを\n225回上げよう","Awaken a horse girl 225 times"
"育成ウマ娘の覚醒Lvを\n230回上げよう","Awaken a horse girl 230 times"
"育成ウマ娘の覚醒Lvを\n235回上げよう","Awaken a horse girl 235 times"
"育成ウマ娘の覚醒Lvを\n240回上げよう","Awaken a horse girl 240 times"
"育成ウマ娘の覚醒Lvを\n245回上げよう","Awaken a horse girl 245 times"
"育成ウマ娘の覚醒Lvを\n250回上げよう","Awaken a horse girl 250 times"
"育成ウマ娘の覚醒Lvを\n255回上げよう","Awaken a horse girl 255 times"
"育成ウマ娘の覚醒Lvを\n260回上げよう","Awaken a horse girl 260 times"
"育成ウマ娘の覚醒Lvを\n265回上げよう","Awaken a horse girl 265 times"
"育成ウマ娘の覚醒Lvを\n270回上げよう","Awaken a horse girl 270 times"
"育成ウマ娘の覚醒Lvを\n275回上げよう","Awaken a horse girl 275 times"
"育成ウマ娘の覚醒Lvを\n280回上げよう","Awaken a horse girl 280 times"
"育成ウマ娘の覚醒Lvを\n285回上げよう","Awaken a horse girl 285 times"
"育成ウマ娘の覚醒Lvを\n290回上げよう","Awaken a horse girl 290 times"
"育成ウマ娘の覚醒Lvを\n295回上げよう","Awaken a horse girl 295 times"
