"text", "translation"
"基礎能力[スピード]が800以上かつ\n芝のレースを15回以上出走する","Race 15 times or more in turf with speed more than 800"
"重賞未勝利でGⅠを勝利する","Win GI race without single big prize win"
"芝とダートのGⅠをそれぞれ1勝以上する","Win turf and dirt GI race each more than once"
"10回以上レースに出走し、全レースで3着以内で育成を完了する","Finish 3rd or higher in all race at least more than 10 times and complete training"
"育成でオークスを勝利したウマ娘から想いを継承し、\nオークス、天皇賞（秋）を勝利し、\nファン数が320000人以上になる",""
"重賞に23戦以上出走し、\nうち菊花賞、天皇賞（春）を2番人気以上で勝利し、\nファン数が320000人以上で育成を完了する",""
"1番人気で弥生賞、皐月賞、日本ダービー、菊花賞を勝利して、\n有馬記念（クラシック級）を勝利して、\nファン数が240000人以上になる",""
"育成ランク[S]以上のウマ娘から想いを継承し、\n無敗でホープフルステークス、弥生賞、皐月賞を勝利し、\n基礎能力[スピード]が1200以上になる",""
"GⅠを7勝する","Win GI race 7 times"
"高松宮記念、スプリンターズS、\n安田記念、マイルチャンピオンシップを勝利する",""
"デビューから無敗でGⅠ3勝を含む5連勝をする",""
"皐月賞、日本ダービー、菊花賞を勝利する",""
"勝率85%以上かつ、\nGⅠ7勝以上、ファン数が320000人以上で育成を完了する","Win GI race 7 times or more with 85% win rate and complete training with 320000 or more fans"
"GⅠを7連勝する","Win GI race 7 times in a row"
"やる気「絶不調」でGⅠを勝利する","Win GI race with the lowest mood"
"1400m以下の重賞を7勝以上かつ、\n基礎能力[スピード]と[パワー]がそれぞれ1200以上になる",""
"2400m以上の重賞で7勝以上かつ、\n基礎能力[スタミナ]1200以上になる","Win 2400m or more big prize 7 times with stamina more than 1200"
"2400m以上のGⅠで4勝する","Win 2400m or more GI race 4 times"
"マイルのGⅠで5バ身差以上をつけて3勝する",""
"12回以上出走して全勝で育成を完了する","Win all race you participate in at least 12 times or more and complete training"
"6～9番人気で重賞を勝利する","Win big prize while being the 6th～9th popular"
"GⅠを5勝以上し、URAファイナルズを勝利して\nファン数が320000以上になる","Win GI race 5 times and URA Finals with 320000 or more fans"
"スキルを20個以上獲得する","Learn more than 20 skills"
"1つのレースでスキルを13回以上発動する","Activate at least 13 or more skills in one race"
"日本ダービーを1番人気かつ5バ身差以上で勝利し、\n天皇賞（春）、天皇賞（秋）、ジャパンCを勝利する","Win Japan Derby with 5 lengths difference being the 1st popular plus Tenno Sho (Spring), Tenno Sho (Autumn), and Japan Cup"
"作戦「逃げ」かつ1番人気で重賞を6連勝以上し、\nそのうち1戦は宝塚記念でスタート200m地点から\nゴールまで1番手のままで勝利する",""
"全レースで2着以内かつ、\n作戦「先行」でジャパンC（クラシック級）で勝利し、\nファン数が320000人以上で育成を完了する",""
"無敗で8連勝以上し、平均7バ身差以上で勝利する",""
"作戦「逃げ」「先行」「差し」「追込」それぞれでGⅠを勝利する","Win GI race using each strategy: Runner, Leader, Betweener, and Chaser"
"1400m以下で11勝以上、\nスプリンターズS（シニア級）を1番人気、4バ身差以上で勝利する",""
"菊花賞で5バ身差以上で勝利し、\n天皇賞（春）を含む2400m以上の重賞で6勝する","Win Kikka Sho with 5 lengths difference and 2400m or more big prize 6 times including Tenno Sho (Spring)"
"やる気「好調」以下で朝日杯FS、有馬記念（クラシック級）、\n宝塚記念（シニア級）、有馬記念（シニア級）を勝利する",""
"日本ダービー、安田記念、ジャパンC、天皇賞（秋）、\nヴィクトリアマイルを含むGⅠを7勝以上する",""
"育成で皐月賞を勝利したウマ娘から想いを継承し、\n全レースで2着以内で、桜花賞、秋華賞、エリザベス女王杯を含む\n重賞を10勝する",""
"育成でGⅠ7勝以上したウマ娘から想いを継承し、\nGⅠで1番人気を4回以上、無敗で皐月賞・日本ダービーで勝利し、\n有馬記念（シニア級）で勝利する",""
"皐月賞、菊花賞、宝塚記念を含むGⅠを6勝以上し、\nファン数が480000人以上になる",""
"無敗で皐月賞・日本ダービー・菊花賞を勝利し、\nジャパンC、天皇賞（春）を勝利および有馬記念を二連覇する",""
"やる気「絶好調」でGⅡまたはGⅠに15回以上出走し、\n菊花賞を含むGⅡ以上で3連勝以上する",""
"GⅠで3着を3回、ファン数が320000人以上になる","Finish 3rd in GI race 3 times with 320000 or nore fans"
"メジロの冠名がつくウマ娘にGⅠで1回以上勝利し、\n菊花賞、宝塚記念、有馬記念で勝利して、\nファン数が240000人以上になる",""
"ユニコーンS、安田記念を含むマイルの重賞で5勝以上し、\nうち1勝以上は天候（雨）で勝利かつ、\nマイルCSを5バ身差以上で勝利する",""
"GⅠを1番人気で6回以上出走し、\nマイルCS、安田記念、有馬記念で勝利して\nファン数が240000人以上になる",""
"天皇賞（春）、宝塚記念、天皇賞（秋）、\nジャパンC、有馬記念を含む重賞8連勝以上する",""
"作戦「逃げ」かつ無敗で朝日杯FS、皐月賞、日本ダービーを\n1番人気で勝利し、スタミナ1200以上になる",""
"芝とダートのGⅠをそれぞれ3勝以上する",""
"桜花賞、NHKマイルC、ヴィクトリアマイル、\nマイルCS、安田記念を1番人気で勝利する",""
"メイクデビューに出走する","Race in Make Debut"
"かけがえのない絆を感じるひとときを過ごす","Spend moment to feel irreplaceable bonds"
"URAファイナルズ決勝で勝利する","Win URA Finals Final"
"桜花賞、オークス、秋華賞を勝利する","Win Oka Sho, Oaks, and Shuka Sho"
"アイビスサマーダッシュ、ルミエールオータムダッシュ、\n韋駄天ステークスで勝利する",""
"シンザン記念、共同通信杯、弥生賞、セントライト記念を勝利する",""
"青葉賞と日本ダービーを勝利する","Win Aoba Sho and Japan Derby"
"基礎能力[スピード]が1200以上になる","Speed more than 1200"
"ホープフルステークスを勝利、有馬記念を二連覇する","Win Hopeful Stakes once and Arima Kinen twice"
"阪神JFまたは朝日杯FSを勝利し、\n大阪杯、桜花賞、宝塚記念を勝利する",""
"NHKマイルカップと日本ダービーを勝利する",""
"基礎能力[パワー]と[根性]がそれぞれ1000以上になる",""
"目標を全て達成し、無敗で育成を完了する",""
"安田記念（クラシック級）を勝利する",""
"宝塚記念（クラシック級）を勝利する",""
"長距離GⅠと短距離GⅠをそれぞれ勝利する",""
"ファン数が500000人以上になる","Gather 500000 or more fans"
"GⅠを10勝する","Win GI race 10 times"
"全てのトレーニングレベルが3以上で育成を完了する","Complete training with all infrastructure at lv3 or higher"
"短距離、マイル、中距離、長距離、ダートの重賞を\nそれぞれ1勝ずつする",""
"やる気「不調」以下でGⅠを5勝する","Win GI race 5 times with low mood"
"大井レース場のGⅠを4勝する","Win race held in Ooi race ground 4 times"
"作戦「逃げ」「先行」「差し」「追込」それぞれで\n重賞を1回以上勝利する","Win big prize once using each strategy: Runner, Leader, Betweener, and Chaser"
"どちらかが育成で日本ダービーを勝利したウマ娘から想いを継承し、\n日本ダービーを勝利する",""
"どちらかが育成で菊花賞を勝利したウマ娘から想いを継承し、\n菊花賞を勝利する",""
"どちらかが育成で皐月賞を勝利したウマ娘から想いを継承し、\n皐月賞を勝利する",""
"どちらかが育成で桜花賞を勝利したウマ娘から想いを継承し、\n桜花賞を勝利する",""
"どちらかが育成でオークスを勝利したウマ娘から想いを継承し、\nオークスを勝利する",""
"どちらかが短距離適性A以上のウマ娘から想いを継承し、\n3000m以上のGⅠを勝利する",""
"継承元2人のGI勝利数合計11勝以上でウマ娘から想いを継承し、\nスペシャルウィーク、セイウンスカイ、グラスワンダー、\nエルコンドルパサーにそれぞれ3回以上勝利する",""
"菊花賞、天皇賞（春）を勝利し、\n基礎能力[スタミナ]が1200以上\nファン数が320000人以上になる","Win Kikka Sho and Tenno Sho (Spring) with more than 1200 stamina plus 320000 or more fans"
"重賞を勝利する","Win big prize"
"GⅡを勝利する","Win GII race"
"GⅠを勝利する","Win GI race"
"10回以上レースに出走し、勝率が80％以上になる","Race 10 times or more with 80% win rate"
"10回以上レースに出走し、\n全てのレースでやる気「絶好調」で出走し続けて育成を完了する","Race with perfect mood all the time at least 10 times or more and complete training"
"重賞を大差で2回以上勝利する","Win big prize 2 times with large margin difference"
"どちらも基礎能力[賢さ]が600以上のウマ娘から想いを継承し、\n基礎能力[賢さ]が600以上になる",""
"どちらも基礎能力[スピード]が1200以上のウマ娘から想いを継承し、\n基礎能力[スピード]が1200以上になる",""
"どちらも基礎能力[スタミナ]が1200以上のウマ娘から想いを継承し、\n基礎能力[スタミナ]が1200以上になる",""
"どちらも基礎能力[パワー]が1200以上のウマ娘から想いを継承し、\n基礎能力[パワー]が1200以上になる",""
"どちらも基礎能力[根性]が1200以上のウマ娘から想いを継承し、\n基礎能力[根性]が1200以上になる",""
"どちらも基礎能力[賢さ]が1200以上のウマ娘から想いを継承し、\n基礎能力[賢さ]が1200以上になる",""
"どちらかが育成で有馬記念と宝塚記念を\n勝利したウマ娘から想いを継承し、\n有馬記念と宝塚記念を勝利する",""
"どちらかが基礎能力[賢さ]が1200以上、\nもう1人が基礎能力[賢さ]が400未満のウマ娘から想いを継承する",""
"育成でクラシック三冠を制覇したウマ娘と\n育成でトリプルティアラを制覇したウマ娘から想いを継承をする",""
"どちらも育成で無敗のウマ娘から想いを継承し、\n10回以上レースに出走し、無敗のまま育成を完了する","Inherit from parents with no record of defeat and race more than 10 times while being undefeated"
"どちらも基礎能力[賢さ]が1200以上のウマ娘から想いを継承し、\n基礎能力[賢さ]が400未満で育成を完了する",""
"どちらかが育成で皐月賞、日本ダービー、菊花賞を\n勝利したウマ娘から想いを継承し、\n皐月賞、ダービー、菊花賞を勝利する","Inherit from parents that won Satsuki Sho, Japan Derby, Kikka Sho and win said races"
"どちらかが育成で無敗で皐月賞、日本ダービー、菊花賞を\n勝利したウマ娘から想いを継承し、\n無敗で皐月賞、ダービー、菊花賞を勝利する","Inherit from parents that undefeated in Satsuki Sho, Japan Derby, Kikka Sho and while being undefeated win said races"
"どちらも育成ランク[C]以下のウマ娘から想いを継承し、\n育成ランクA以上で育成を完了する",""
"どちらかが育成で桜花賞、オークス、秋華賞を\n勝利したウマ娘から想いを継承し、\n桜花賞、オークス、秋華賞を勝利する",""
"どちらかが育成で無敗で桜花賞、オークス、秋華賞を\n勝利したウマ娘から想いを継承し、\n無敗で桜花賞、オークス、秋華賞を勝利する",""
"どちらもファン数が460000人以上のウマ娘から想いを継承し、\nファン数が480000人以上になる",""
"全レースで2着以内で、\n菊花賞、天皇賞（春）、宝塚記念を勝利し、\n目標を全て達成し育成を完了する",""
